,cuisine,ingredient,name
71,chinese,"['4 ounces ground pork', '2 tablespoons dry sherry', '1 teaspoon cornstarch', '1/2 tablespoon fermented black beans, rinsed and mashed', '1/2 tablespoon chili paste with garlic', '1 teaspoon cayenne pepper', '2 tablespoons soy sauce', '3 cloves garlic, crushed', '1/2 teaspoon minced fresh ginger', '1 (14 ounce) package tofu, drained and cut into cubes', '1 cup frozen green peas', '1/2 cup chicken broth', '1 tablespoon cornstarch, mixed with equal parts water']",Ma Po Tofu
72,chinese,"['1/4 cup reduced-salt soy sauce', '2 tablespoons white wine vinegar', '2 tablespoons mirin (sweetened Asian wine)', '1 teaspoon grated ginger root', '2 crushed garlic cloves', '1 tablespoon cornstarch', '2 tablespoons oil, preferably sesame oil', '1 pound boneless, skinless chicken breast, cut in 1-inch pieces', '6 large green onions, cut in 1-inch pieces', '2 cups fresh or frozen pepper strips', '1 (20 ounce) can chunk pineapple in juice', '1/4 cup sliced almonds (optional)']",Stir-Fried Chicken With Pineapple and Peppers
73,chinese,"['8 ounces dry fettuccine pasta', '2 tablespoons natural peanut butter', '1/2 cup vegetable broth', '2 tablespoons soy sauce', '3 cloves garlic, minced', '2 teaspoons crushed red pepper flakes', '1 red bell pepper, chopped', '2 green onions, chopped', '1/2 cup chopped fresh cilantro']",Chinese Cold Pasta Salad
74,chinese,"['1 pound beef tenderloin, cut into 1/2 inch strips', '1/4 cup orange juice', '1/4 cup seasoned rice vinegar', '2 tablespoons soy sauce', '1 tablespoon hot chile paste (such as sambal oelek)', '1 tablespoon brown sugar, or to taste', '2 cloves garlic, minced', '1/4 cup water', '1 teaspoon cornstarch', 'cooking spray', '2 tablespoons grated orange zest', '1 bunch green onions, sliced - white parts and tops separated', 'salt and freshly ground black pepper to taste']",Spicy Orange Zest Beef
75,chinese,"['2 tablespoons oyster sauce', '1 tablespoon soy sauce', '2 teaspoons brown sugar', '1 teaspoon potato starch', '1 tablespoon water', '2 pinches salt', '1/4 teaspoon vegetable oil', '4 heads baby bok choy', '3 tablespoons olive oil', '2 tablespoons minced green onion', '1 tablespoon minced garlic', '1 (8 ounce) package sliced portobello mushrooms']",Chinese-Style Baby Bok Choy with Mushroom Sauce
76,chinese,"['1 pound ground pork', '1 egg', '1 tablespoon cornstarch', '2 teaspoons sesame oil', '1 tablespoon minced fresh ginger root', '1/4 teaspoon monosodium glutamate (MSG) (optional)', '1 teaspoon salt', '2 green onions, chopped and divided', '1 tablespoon vegetable oil', '1 head napa cabbage, cored and cut into chunks', '2 cups low-sodium chicken broth', '2 cups water, or as needed', '1 tablespoon soy sauce', '2 teaspoons sesame oil']",Chinese Lion's Head Soup
77,chinese,"['3 tablespoons hoisin sauce', '1 tablespoon ketchup', '1 tablespoon honey', '1 tablespoon soy sauce', '1 tablespoon sake', '1 teaspoon rice vinegar', '1 teaspoon lemon juice', '1 teaspoon grated fresh ginger', '1/2 teaspoon grated fresh garlic', '1/4 teaspoon Chinese five-spice powder', '1 pound pork spareribs']",Chinese Spareribs
78,chinese,"['1 pound halibut fillet', '1 teaspoon coarse sea salt or kosher salt', '1 tablespoon minced fresh ginger', '3 tablespoons thinly sliced green onion', '1 tablespoon dark soy sauce', '1 tablespoon light soy sauce', '1 tablespoon peanut oil', '2 teaspoons toasted sesame oil', '1/4 cup lightly packed fresh cilantro sprigs']",Steamed Fish with Ginger
79,chinese,"['1 (8 ounce) package spaghetti', '1 teaspoon dark sesame oil', '1 tablespoon peanut oil', '4 cloves garlic, minced', '1 tablespoon minced fresh ginger root', '4 cups mixed vegetables', '1 pound flank steak, thinly sliced', '3 tablespoons reduced-sodium soy sauce', '2 tablespoons brown sugar', '1 tablespoon oyster sauce', '1 tablespoon Asian chile paste with garlic']",Beef Lo Mein
80,chinese,"['4 tablespoons vegetable oil, divided', '1 pound lean boneless pork, cut into thin strips', '4 cups shredded cabbage', '1 large carrot, shredded', '1/2 green bell pepper, cut into thin strips', '1 medium onion, chopped', '3 cloves garlic, minced', '3 teaspoons fresh ginger root, grated', '1 tablespoon cornstarch', '2 tablespoons soy sauce', '1 1/2 tablespoons molasses', '2 tablespoons vegetable oil', '1 quart oil for frying', '1 1/2 (14 ounce) packages egg roll wrappers', '1/4 cup water, as needed', '1 1/2 cups sweet and sour sauce for dipping']",Cindi's Egg Rolls
81,chinese,"['4 pounds bone-in pork roast', '3/4 cup soy sauce', '1/2 cup dry sherry', '1/3 cup honey', '2 cloves garlic, minced', '1/2 teaspoon ground ginger', '1 tablespoon cornstarch', '1 tablespoon water']",Chinese Roast Pork
82,chinese,"['2 heads fresh broccoli', '2 tablespoons vegetable oil', '1 tablespoon salt', '2 tablespoons light soy sauce', '2 tablespoons distilled white vinegar', '2 tablespoons sesame oil', '1/4 teaspoon salt', '1 tablespoon white sugar']",Chinese-Style Broccoli Salad
83,chinese,"['3 tablespoons red wine vinegar', '2 tablespoons white sugar', '1/2 teaspoon salt', '1/4 teaspoon ground black pepper', '1 (3 ounce) package chicken flavored ramen noodles, crushed, seasoning packet reserved', '1/2 cup vegetable oil', '1 (16 ounce) package broccoli coleslaw mix', '1/2 cup chopped green onions', '4 ounces toasted slivered almonds', '1/4 cup sesame seeds, toasted']",Chinese Cabbage Salad II
84,chinese,"['2 (1 1/2 pound) pork tenderloins, trimmed', '2 tablespoons light soy sauce', '2 tablespoons hoisin sauce', '1 tablespoon sherry', '1 tablespoon black bean sauce', '1 1/2 teaspoons minced fresh ginger root', '1 1/2 teaspoons packed brown sugar', '1 clove garlic', '1/2 teaspoon sesame oil', '1 pinch Chinese five-spice powder']",Chinese Pork Tenderloin
85,chinese,"['1 1/2 pounds ground beef', '2 cups shredded Chinese cabbage', '1 carrot, shredded', '1 onion, minced', '1 egg', '1 teaspoon sugar', '1 teaspoon salt', '1 tablespoon soy sauce', '1 tablespoon vegetable oil', '1 (14 ounce) package wonton wrappers']",Beefy Chinese Dumplings
86,chinese,"['14 ounces skinless, boneless chicken breast meat - cut into bite-size pieces', '1/2 cup oyster sauce', '2 tablespoons soy sauce', '3 tablespoons vegetable oil', '2 cloves garlic, minced', '1 large onion, chopped', '1/2 cup water', '1 teaspoon ground black pepper', '1 teaspoon white sugar', '1 (8 ounce) can sliced water chestnuts, drained', '1 cup snow peas', '1 small head broccoli, cut into florets', '3 tablespoons cornstarch', '1/4 cup water']",Chicken and Chinese Vegetable Stir-Fry
87,chinese,"['1/2 cup chicken broth', '1/4 cup soy sauce', '1 tablespoon cornstarch', '1 clove garlic, minced', '1 tablespoon vegetable oil', '4 skinless, boneless chicken breast halves, cut into bite size pieces', '2 cups snow peas', '2 cups cremini mushrooms, stems discarded, caps thinly sliced', '4 bunches green onions, cut into 1-inch pieces', '2 large ripe but firm avocados - peeled, pitted, and cut into large chunks']",Avocado Chicken Stir-Fry
88,chinese,"['1 tablespoon vegetable oil', '1 cup sliced fresh mushrooms', '2 cups chopped broccoli florets', '1 (8 ounce) can sliced bamboo shoots, drained', '1 (8 ounce) can sliced water chestnuts, drained', '1 (15 ounce) can whole straw mushrooms, drained', '1 tablespoon vegetable oil', '2 cloves garlic, minced', '1 pound skinless, boneless chicken breast, cut into strips', '1 tablespoon cornstarch', '1 tablespoon white sugar', '1 tablespoon soy sauce', '1 tablespoon oyster sauce', '1 tablespoon rice wine', '1/4 cup chicken broth']",Moo Goo Gai Pan
89,chinese,"['1 (4 pound) whole duck, dressed', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground ginger', '1/4 teaspoon ground nutmeg', '1/4 teaspoon ground white pepper', '1/8 teaspoon ground cloves', '3 tablespoons soy sauce', '1 tablespoon honey', '1 orange, sliced in rounds', '1 tablespoon chopped fresh parsley, for garnish', '5 green onions', '1/2 cup plum jam', '1 1/2 teaspoons sugar', '1 1/2 teaspoons distilled white vinegar', '1/4 cup finely chopped chutney']",Peking Duck
90,chinese,"['1 (15 ounce) can cream style corn', '1 (14.5 ounce) can low-sodium chicken broth', '1 egg, beaten', '1 tablespoon cornstarch', '2 tablespoons water']",Easy Chinese Corn Soup
91,chinese,"['4 cups vegetable oil for frying', '3 eggs', '1/2 cup cornstarch', '1 pound skinless, boneless chicken thighs, cut into bite-sized pieces', '1 tablespoon vegetable oil', '5 dried red pepper pods', '1 1/2 tablespoons rice vinegar', '2 tablespoons rice wine', '3 tablespoons white sugar', '3 tablespoons soy sauce', '2 teaspoons cornstarch', '3 green onions, thinly sliced']",Joe's General Tso's Chicken
92,chinese,"['1 cup vegetable oil', '13 pounds fresh green beans, trimmed', '5 tablespoons minced garlic', '5 tablespoons minced fresh ginger root', '2 tablespoons kosher salt', '1 tablespoon coarsely ground black pepper', '2 (8 ounce) bottles black bean sauce']",Chinese Green Bean Stir-Fry
93,chinese,"['1 pound pork tenderloin', '1/4 cup all-purpose flour', '2 tablespoons vegetable oil, divided', '2 cups thinly sliced bok choy', '1 cup chopped celery', '1 cup red bell pepper, cut into 1/4 inch strips', '1 cup sliced mushrooms', '1 (8 ounce) can water chestnuts, sliced', '2 cloves garlic, minced', '1/4 cup chicken broth', '1/4 cup soy sauce', '1 tablespoon cornstarch', '1 tablespoon dry sherry', '1/2 teaspoon ground ginger']",Pork Chop Suey
94,chinese,"['1 1/2 tablespoons vegetable oil', '1/4 small head cabbage, shredded', '4 ounces lean pork tenderloin, cut into thin strips', '1/2 teaspoon minced fresh ginger root', '6 cups chicken broth', '2 tablespoons soy sauce', '8 fresh green onions, chopped', '4 ounces dry Chinese egg noodles']",Long Soup
95,chinese,"['1 (8 ounce) package linguine', '1/3 cup low-sodium soy sauce', '2 tablespoons rice vinegar', '2 teaspoons cornstarch', '1 teaspoon white sugar', '1/2 teaspoon sesame oil', '2 tablespoons canola oil', '2 cups snap peas', '1 small sweet onion, chopped', '1 (12 ounce) pork tenderloin, cut into thin strips', '1 (8 ounce) package sliced white mushrooms', '1 red bell pepper, chopped', '1 clove garlic, chopped', '1/2 teaspoon chopped fresh ginger, or to taste', '2 cloves garlic, chopped', '3 green onions, sliced']",Pork Lo Mein
96,chinese,"['2 teaspoons light soy sauce', '1/8 teaspoon white sugar', '2 teaspoons potato starch', '1 teaspoon sesame oil', 'ground black pepper to taste', '1 pound pork loin, cut into 1-inch cubes', '1 cup water', '2 tablespoons white vinegar', '1/4 cup ketchup', '1/4 cup white sugar', '1 pinch salt', '2 teaspoons potato starch', '1 dash red food coloring', '1 egg, beaten', '1 cup potato starch', '2 cups peanut oil for frying', '1 green bell pepper, cut into large chunks', '2 cayenne peppers, sliced', '4 slices canned pineapple, chopped', '2 cloves garlic, sliced', '2 green onions, sliced']",Hong Kong Sweet and Sour Pork
97,chinese,"['1 pound boneless beef sirloin or round steak', '1 tablespoon Kikkoman Hoisin Sauce', '2 tablespoons vegetable oil, divided', '2 medium bell peppers, cut into 1-inch squares', '2 medium onions, cut into 1-inch squares', '1/4 cup Kikkoman Hoisin Sauce']",Kikkoman Chinese Pepper Steak
98,chinese,"['2 teaspoons cornstarch', '2 tablespoons rice wine', '1 tablespoon lemon juice', '1 tablespoon soy sauce', '1 dash hot pepper sauce', '1 tablespoon grated fresh ginger', '1 clove crushed garlic', '1 pound skinless, boneless chicken breast halves, cut into bite size pieces', '2 tablespoons sesame seeds', '1 tablespoon sesame oil', '2 tablespoons vegetable oil', '4 ounces fresh mushrooms, quartered', '1 green bell pepper, sliced', '4 green onions, sliced diagonally into 1/2 inch pieces']",Sesame Chicken
99,chinese,"['8 ounces beef filet, cut into 1/2 inch strips', '2 tablespoons vegetable oil', '1 onion, chopped', '1 clove garlic, minced', '1 teaspoon chopped fresh ginger root', '1 green bell pepper, chopped', '1 carrot, chopped', '1 (10.5 ounce) can beef broth', '1 tablespoon cornstarch', '1 teaspoon white sugar', '1 tablespoon soy sauce', '1 tablespoon oyster sauce', 'salt and pepper to taste']",Beef with Vegetables
100,chinese,"['1 pound raw shrimp, peeled and deveined', '4 pounds ground beef', '1 tablespoon minced fresh ginger root', '1 shallot, minced', '1 bunch green onions, chopped', '3 leaves napa cabbage, chopped', '2 tablespoons soy sauce', '1 teaspoon Asian (toasted) sesame oil', 'salt and white pepper to taste', '1 pinch white sugar', '1 (10 ounce) package round gyoza/potsticker wrappers', 'vegetable oil', '1/4 cup water']",Potstickers (Chinese Dumplings)
101,chinese,"['1 tablespoon vegetable oil', '1/4 pound sliced fresh mushrooms', '1/4 pound snow peas', '1 (8 ounce) can sliced water chestnuts, drained', '1/4 pound sliced bok choy', 'salt and black pepper to taste', '1 tablespoon vegetable oil', '1 teaspoon minced garlic', '1 teaspoon minced fresh ginger root', '3/4 cup skinless, boneless chicken breast meat - thinly sliced', '1 teaspoon white wine', '1/4 teaspoon white sugar', '1/4 cup chicken broth', '1 tablespoon cornstarch', '2 tablespoons water']",Moo Goo Gai Pan II
102,chinese,"['2 cups peanut oil for frying', '1 pound peeled and deveined large shrimp', '1/4 cup cornstarch', '2 large cloves garlic, minced', '1/2 teaspoon minced fresh ginger', '1/2 teaspoon cayenne pepper', '1 tablespoon white wine', '1 tablespoon white vinegar', '1 tablespoon ketchup', '5 teaspoons white sugar', '1/2 teaspoon salt', '1/4 cup water', '2 teaspoons cornstarch', '2 teaspoons water', '5 green onions, sliced']",Slippery Shrimp
103,chinese,"['1/2 cup rice vinegar', '1/2 cup white sugar', '1 clove garlic, minced', '1/4 teaspoon salt', '1 1/2 teaspoons dried red pepper flakes']",Hot and Sweet Dipping Sauce
104,chinese,"['3 cups bread flour', '1 1/4 cups boiling water', '2 tablespoons vegetable oil', 'salt and pepper to taste', '1 bunch green onions, finely chopped', '2 teaspoons vegetable oil, or as needed']",Green Onion Cakes
105,chinese,"['1 tablespoon yellow curry paste', '1/2 cup chicken broth, divided', '1 teaspoon white sugar', '1 1/2 teaspoons curry powder', '1/2 teaspoon salt', '4 1/2 teaspoons light soy sauce', '1 (5.6 ounce) can coconut milk', '1 tablespoon canola oil', '3 skinless, boneless chicken breast halves, sliced', '2 teaspoons minced garlic', '1 teaspoon minced fresh ginger', '1 onion, sliced', '2 potatoes - peeled, halved, and sliced']",Adriel's Chinese Curry Chicken
106,chinese,"['2 pork tenderloins', '1/2 cup soy sauce', '1/3 cup honey', '1/3 cup ketchup', '1/3 cup brown sugar', '1/4 cup Chinese rice wine', '2 tablespoons hoisin sauce', '2 tablespoons red food coloring', '1 teaspoon Chinese five-spice powder (optional)']",Char Siu (Chinese BBQ Pork)
107,chinese,"['2 cups soy sauce', '2 cups brown sugar', '2 tablespoons garlic powder', '5 pounds chicken wings, split and tips discarded']",Chinese Chicken Wings
108,chinese,"['2 tablespoons soy sauce', '1 tablespoon cornstarch', '1 tablespoon water', '1 pound pork tenderloin, cubed', '1 lime, juiced', '1 tablespoon soy sauce', '2 tablespoons rice vinegar', '1 teaspoon cornstarch', '3 teaspoons dark sesame oil', '1 tablespoon peanut oil', '3 teaspoons minced fresh ginger root', '2 green chile peppers, chopped', '1/2 cup julienned carrots', '1/2 cup sugar snap peas, julienned', '2 teaspoons chili oil', '1/4 cup chopped green onions', '1/4 cup finely chopped peanuts']",Spicy Pork Stir-Fry
109,chinese,"['2 tablespoons toasted sesame oil', '4 cloves garlic cloves, peeled and sliced', '6 tablespoons black bean sauce', '1 teaspoon salt', '3/4 pound skinless, boneless chicken breast half - cut into cubes', '1 cube chicken bouillon dissolved in', '1/2 cup boiling water', '1 large onion, peeled and sliced', '1 bunch green onions, chopped', '2 green bell pepper, diced', '1 1/2 tablespoons dark soy sauce', '1 teaspoon black pepper', '4 teaspoons cornstarch dissolved in', '3 tablespoons water', '4 tablespoons chopped fresh cilantro']",Chicken with Green Peppers in Black Bean Sauce
110,chinese,"['2 orange pekoe tea bags', '1 cup boiling water', '5 ice cubes', '4 teaspoons sweetened condensed milk', '3 teaspoons honey']",Honey Milk Tea - Hong Kong Style
111,chinese,"['1 bunch Gai Lan (Chinese broccoli), trimmed', '2 tablespoons white sugar', '1 tablespoon cornstarch', '2 tablespoons soy sauce', '1 tablespoon rice vinegar', '1 tablespoon sesame oil', '3 tablespoons hoisin sauce', '1 teaspoon minced fresh ginger root', '2 cloves garlic, minced']",Chinese Broccoli
112,chinese,"['1 tablespoon vegetable oil', '1 1/2 pounds skinless, boneless chicken thighs, cut into chunks', '1/2 cup sesame oil', '10 slices fresh ginger', '2 cloves garlic, sliced', '1/2 cup dry sherry', '1/3 cup soy sauce', '1/4 cup water', '3 tablespoons white sugar', '1/2 cup fresh Thai basil leaves', '3 dried whole red chilies']",Taiwanese-Style Three Cup Chicken
113,chinese,"['1 tablespoon vegetable oil', '2 cloves garlic, minced', '1 (1/2 inch) piece fresh ginger root, minced', '6 ounces raw small shrimp, shelled and deveined', '1 quart chicken stock', '8 ounces tofu, diced small', '1/3 cup frozen peas, thawed', '1 teaspoon salt', '1/2 teaspoon black pepper', '1 tablespoon cornstarch']",Chinese Shrimp and Tofu Soup
114,chinese,"['4 cups vegetable oil for frying', '3 eggs', '1/2 cup cornstarch', '2 teaspoons cornstarch', '2 pounds skinless, boneless chicken thighs, cut into bite-sized pieces', '1 1/2 cups white sugar', '1/4 cup distilled white vinegar', '1/4 cup rice vinegar', '1/4 cup dry sherry', '2 1/2 tablespoons soy sauce', '2 teaspoons minced garlic', '2 tablespoons vegetable oil', '12 dried whole red chilies, or to taste', '2 tablespoons minced fresh ginger, or to taste']",Deb's General Tso's Chicken
115,chinese,"['4 skinless, boneless chicken breast halves - cut into 1 inch cubes', '20 peeled and deveined large shrimp (21 to 30 per pound)', '4 teaspoons soy sauce', '4 teaspoons rice wine', '2 teaspoons sesame oil', '1 tablespoon cornstarch', '1/2 cup vegetable oil, divided', '4 cloves garlic, minced', '16 dried red chile peppers, cut in half', '2 teaspoons Szechuan peppercorns (optional)', '1 red bell pepper, sliced', '1 green bell pepper, sliced', '1/4 cup dark soy sauce', '2 tablespoons rice wine', '2 teaspoons white sugar', '1 cup salted peanuts', '4 green onions, cut into 3 inch lengths', '2 dashes sesame oil, or to taste (optional)']",Hunan Kung Pao
116,chinese,"['3/4 cup cornstarch', '1/2 cup water', '2 eggs', '1 pound flank steak, cut into thin strips', '1/2 cup canola oil, or as needed', '1 large carrot, cut into matchstick-size pieces', '1 green bell pepper, cut into matchstick-size pieces', '1 red bell pepper, cut into matchstick-size pieces', '3 green onions, chopped', '1/4 cup minced fresh ginger root', '5 garlic cloves, minced', '1/2 cup white sugar', '1/4 cup rice vinegar', '3 tablespoons soy sauce', '1 tablespoon sesame oil', '1 tablespoon red pepper flakes, or to taste']",Crispy Ginger Beef
117,chinese,"['1 (8 ounce) package spaghetti', '2 tablespoons soy sauce', '2 tablespoons oyster sauce', '2 tablespoons brown sugar', '2 teaspoons fish sauce', '1/2 teaspoon garlic powder', '1/2 teaspoon ground ginger', '2 teaspoons vegetable oil', '1 pound uncooked medium shrimp, peeled and deveined', '1 cup chopped broccoli', '1/4 yellow onion, thinly sliced', '3 crimini mushrooms, sliced', '2 cloves garlic, minced', '2 large eggs']",Easy Shrimp Lo Mein
118,chinese,"['1 (16 ounce) package wonton wrappers', '1 pound lean ground beef', '1 pound shrimp - peeled, deveined and coarsely chopped', '5 tablespoons soy sauce', '3 tablespoons oyster sauce', '1 pound bean sprouts', '2 green onions', '3 stalks celery, chopped', '1 medium head cabbage, finely shredded', '2 cloves garlic, minced', '1 teaspoon monosodium glutamate (MSG)', '1 cup vegetable oil']",Egg Rolls
119,chinese,"['3 1/2 boneless chicken breast halves, cooked and diced', '1 head lettuce, torn into small pieces', '4 green onions, sliced', '4 stalks celery, sliced thin', '1/2 cup walnuts, chopped', '2 tablespoons sesame seeds, toasted', '6 ounces Chinese noodles, heated briefly to crisp', '6 tablespoons seasoned rice vinegar', '4 tablespoons white sugar', '1 teaspoon salt', '1/2 cup peanut oil']",Chinese Chicken Salad
120,chinese,"['1 tablespoon vegetable oil', '2 cloves garlic, minced', '1 pound shredded cabbage', '1 tablespoon soy sauce', '1 tablespoon Chinese cooking wine (Shaoxing wine)']",Super Easy Stir-Fried Cabbage
121,chinese,"['1 1/2 pounds beef top sirloin, thinly sliced', '1 tablespoon low-sodium soy sauce', '1 tablespoon cornstarch', '1 teaspoon dark sesame oil', '1/2 teaspoon baking soda', '1 tablespoon low-sodium soy sauce', '2 tablespoons frozen orange juice concentrate, thawed', '1 tablespoon rice vinegar', '1 teaspoon dark sesame oil', '1 tablespoon brown sugar', '1 teaspoon cornstarch', '1 tablespoon peanut oil', '3 cloves garlic, minced', '1 tablespoon minced fresh ginger root', '1 tablespoon finely shredded orange zest', '1/4 teaspoon red pepper flakes']",Orange Peel Beef
122,chinese,"['2 cups fresh broccoli florets', '1 tablespoon water', '2 tablespoons peanut oil', '4 large cloves garlic, minced', '1 cup low-sodium chicken broth', '1 tablespoon soy sauce', '1 tablespoon oyster sauce', '2 teaspoons grated fresh ginger root', '1 pound uncooked medium shrimp, peeled and deveined', '1/4 cup canned water chestnuts, drained', '2 tablespoons cornstarch']",Shrimp with Broccoli in Garlic Sauce
123,chinese,"['6 eggs', '1 1/4 cups white sugar', '2 1/2 tablespoons water', '1 1/2 cups cake flour', '1/2 teaspoon baking powder', '1 1/2 teaspoons almond extract', ""1/4 cup confectioners' sugar for dusting""]",Chinese Steamed Cake
124,chinese,"['2 skinless, boneless chicken breasts - cooked and cubed', '1 cup chicken broth', '1 (10.75 ounce) can condensed cream of mushroom soup', '1 (5 ounce) can evaporated milk', '1 cup sliced almonds', '1 (4.5 ounce) can sliced mushrooms, drained', '1 (8 ounce) can water chestnuts, drained and minced', '1 (5 ounce) can crispy chow mein noodles', '2/3 cup shredded Cheddar cheese', '1 cup diced celery (optional)']",Chinese Chicken Casserole Surprise
125,chinese,"['1 (16 ounce) package extra firm tofu', '1/3 cup soy sauce', '2 teaspoons Chinese black vinegar', '1 teaspoon sesame oil', '1 teaspoon white sugar', '3 tablespoons olive oil', '3 cloves garlic, minced', '1/4 cup chopped green onions', 'salt and pepper to taste']",Taiwanese Fried Tofu
126,chinese,"['1 pound boneless pork chops, cut into stir-fry strips', '1 tablespoon hoisin sauce', '1 tablespoon cornstarch', '2 tablespoons hoisin sauce', '1/4 cup chicken broth', '1 tablespoon cornstarch', '1 tablespoon rice vinegar', '1 tablespoon white sugar', '1 teaspoon red pepper flakes, or to taste', '1 tablespoon sesame oil', '2 cloves garlic, minced', '2 teaspoons minced fresh ginger root', '1 carrot, peeled and sliced', '1 green bell pepper, sliced', '1 (4 ounce) can sliced water chestnuts, drained', '2 green onions, sliced']",Hoisin Pork Stir Fry
127,chinese,"['1 cup chicken broth', '3 tablespoons soy sauce', '1 tablespoon cornstarch', '1 tablespoon ground ginger', '2 tablespoons vegetable oil', '4 large skinless, boneless chicken breast halves, cubed', '2 cloves garlic, minced', '1 1/2 cups sliced fresh mushrooms', '2 (8 ounce) cans sliced water chestnuts, drained', '3 cups snow peas', '1 tablespoon sesame seeds']",Chicken and Snow Peas
128,chinese,"['1 tablespoon rice vinegar', '1 teaspoon red wine vinegar', '1 teaspoon soy sauce', '1 teaspoon white sugar', '1 teaspoon Dijon mustard', '2 tablespoons peanut oil', '1 tablespoon sesame oil', '1 1/2 pounds fresh asparagus, trimmed and cut into 2-inch pieces', '1 tablespoon sesame seeds']",Spring Asparagus Salad
129,chinese,"['1 large green onion', '4 eggs, beaten', '3/4 cup bean sprouts', '3 tablespoons soy sauce, divided', '2 tablespoons peanut oil, divided', '2 cups sliced fresh mushrooms', '4 teaspoons cornstarch', '1 cup chicken or beef broth']",Egg Foo Yung with Mushroom Sauce
130,chinese,"['3 skinless, boneless chicken thighs', '3 tablespoons oyster sauce', '1 teaspoon sesame oil', '1 teaspoon white sugar', '1 egg, beaten', 'salt and pepper to taste', '1/8 cup corn flour', '1/2 cup water', '3 tablespoons white sugar', '1/2 lemon, juiced', '1 (3.4 ounce) package instant lemon pudding mix', 'water as needed', '2 tablespoons toasted sesame seeds']",Chinese Lemon Chicken
131,chinese,"['16 ounces dried soba noodles', '1/4 cup tamari', '1/4 cup sesame oil', '1 tablespoon rice vinegar', '1 tablespoon white sugar', '1/2 teaspoon chili oil', '1 red bell pepper, thinly sliced', '1 cup chopped green onions', '2 carrots, julienned']",Cold Szechuan Noodles and Shredded Vegetables
132,chinese,"['1 tablespoon vegetable oil', '1 red bell pepper, chopped', '3 green onions, chopped', '2 cups water', '2 cups chicken broth', '1 tablespoon soy sauce', '1 tablespoon red wine vinegar', '1/4 teaspoon crushed red pepper flakes', '1/8 teaspoon ground black pepper', '1 tablespoon cornstarch', '3 tablespoons water', '1 tablespoon sesame oil', '6 ounces frozen snow peas', '1 (8 ounce) package firm tofu, cubed', '1 (8 ounce) can sliced water chestnuts, drained']",Hot and Sour Soup with Tofu
133,chinese,"['4 eggs', '8 ounces fresh bean sprouts', '1/3 cup thinly sliced green onions', '1 cup cooked small shrimp', '1/4 teaspoon garlic powder', '2 tablespoons vegetable oil', '3 cups chicken broth', '2 tablespoons cornstarch', '2 tablespoons sugar', '2 tablespoons distilled white vinegar', '2 tablespoons soy sauce']",Shrimp Egg Foo Young
134,chinese,"['2 (6 ounce) skinless, boneless chicken breast halves', '1 tablespoon soy sauce', '1 tablespoon real maple syrup', '1 tablespoon dry sherry', '1 teaspoon chopped fresh ginger root', '1/2 teaspoon Chinese five-spice powder', '2 tablespoons sesame seeds', '3 tablespoons all-purpose flour', 'salt and pepper to taste', '1/2 teaspoon peanut oil', '4 leaves red leaf lettuce - rinsed', '1 large tomato, cut into wedges']",Chinese Restaurant-Style Sesame Chicken
135,chinese,"['2 pounds chicken wings', '1 1/4 cups water', '10 tablespoons dark soy sauce', '5 tablespoons light soy sauce', '1 clove crushed garlic', '1 green onion, chopped', '1/4 cup sesame oil', '1 dash sesame oil']",Sesame Oil Chicken Wings
136,chinese,"['4 ounces dry Chinese noodles', '1 (14.5 ounce) can chicken broth', '6 shiitake mushrooms, sliced', '2 green onions, chopped', '1 skinless, boneless chicken breast half', '2 eggs']",Asian Chicken Noodle Soup
137,chinese,"['4 cups vegetable broth', '1 (12 ounce) package silken tofu, diced', '2 green onions, chopped', '1 eggs, beaten', '1 portobello mushroom, halved and sliced', '2 cups chopped cabbage', '1 tablespoon Thai chile sauce', '1 tablespoon rice vinegar', '3 tablespoons soy sauce', '1 teaspoon citric acid powder (optional)']",Hot and Sour Tofu Soup (Suan La Dofu Tang)
138,chinese,"['1/2 cup hoisin sauce', '1/4 cup jellied cranberry sauce', '3 tablespoons reduced sodium soy sauce', '2 tablespoons white wine', '2 tablespoons honey', '1/2 teaspoon red food coloring', '1/2 teaspoon garlic salt', '1/4 teaspoon Chinese five-spice powder', '4 pounds pork spareribs, cut into 1-inch pieces', '2 cups water']",Chinese Barbequed Spareribs
139,chinese,"['4 cups seasoned chicken broth', '1/2 cup frozen green peas', '1 egg, beaten']",Chinese Egg Soup
140,chinese,"['2 tablespoons canola oil', '10 cloves garlic, chopped', '1 teaspoon minced fresh ginger root', '1 (8 ounce) can sliced water chestnuts, drained', '1 cup snow peas', '1 cup small white button mushrooms', '1 teaspoon crushed red pepper flakes', '1/2 teaspoon salt', '1 teaspoon ground black pepper', '1 pound peeled and deveined jumbo shrimp', '1/2 cup chicken broth', '1 tablespoon rice vinegar', '2 tablespoons fish sauce', '2 tablespoons dry sherry', '1 tablespoon cornstarch', '1 tablespoon water']",Chinese Take-Out Shrimp with Garlic
141,chinese,"['1 teaspoon cornstarch', '1 tablespoon cold water', '1/2 pound ground pork', '1 tablespoon vegetable oil', '1 tablespoon minced garlic', '1 tablespoon minced fresh ginger root', '1 (16 ounce) package firm tofu, cut into 1 inch pieces', '5 tablespoons soy sauce', '2 tablespoons hot bean sauce', '1 teaspoon white sugar', '3 green onions, chopped', '1 teaspoon sesame oil']",Chinese Mabo Tofu
